job_title,company_name,company_location,work_method,post_date,work_time
Jr Data Analyst Part Time,Amazon,"Barcelona, Catalonia, Spain",On-site,1 day ago,Full-time
Empleo – Junior Data Analyst,Aglaia Consulting,"Barcelona, Catalonia, Spain",Hybrid,6 days ago,Full-time · Entry level
Junior Data Analyst,Eurofragance SLU,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,1 month ago,Full-time
Graduado/a Analista de datos Junior. Excel Avanzado,EMPRESAS IMAN,"Madrid, Community of Madrid, Spain",On-site,14 hours ago,Full-time · Mid-Senior level
Junior Data Analyst,Vonage,Spain,Remote,2 weeks ago,Full-time · Entry level
JUNIOR DATA ANALYST,MANGO,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
Junior Data Analyst,"Social You, S.L.","Barcelona, Catalonia, Spain",Remote,1 month ago,Full-time · Mid-Senior level
Junior Data Analyst,Social You,"Barcelona, Catalonia, Spain",Remote,1 month ago,Full-time · Mid-Senior level
Graduado/a Analista de datos Junior. Excel Avanzado,EMPRESAS IMAN,"Madrid, Community of Madrid, Spain",On-site,4 days ago,Full-time · Mid-Senior level
Data Analyst Junior | Automoción,TRIGO QUALITY IBERICA,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time · Mid-Senior level
Supply Chain Advanced Data Analyst - VIE Contract (W/M),Sanofi,"Barcelona, Catalonia, Spain",On-site,18 hours ago,Full-time · Entry level
Data Analyst Junior | Automoción,TRIGO QUALITY IBERICA,"Martorell, Catalonia, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
Customer Senior Data Analyst for eCommerce,HP,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,4 hours ago,Full-time · Mid-Senior level
Prácticas como Data Analyst&CRO (perfiles ingenieros digitales),ARKANA,"Barcelona, Catalonia, Spain",Remote,1 month ago,Full-time · Entry level
Analista de datos Junior,Grupo Planeta,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time
Data Analyst Junior,Universidad Europea,"Villaviciosa de Odón, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
Analista de Datos - Freelance,Sandav,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Analista de Datos junior 100% REMOTO (Debe vivir en Extremadura),Apiux Tecnología,"Mérida, Extremadura, Spain",Remote,2 weeks ago,Full-time · Mid-Senior level
DATA ANALYST & UNDERWRITER-BBVA ALLIANZ SEGUROS,Allianz España,"Madrid, Community of Madrid, Spain",On-site,1 month ago,Full-time
Analista de Datos con Power BI (HÍBRIDO) (Madrid),CMV Consultores,"Madrid, Community of Madrid, Spain",Hybrid,2 days ago,Full-time · Mid-Senior level
Analista de Datos junior con experiencia en Pentaho,Apiux Tecnología,Spain,Remote,1 week ago,Full-time · Mid-Senior level
Apriso Developer,Kouegoue Technology Global,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time
"Data Research Analyst, Trilogy (Remote) - $60,000/year USD",Crossover,"Barcelona, Catalonia, Spain",Remote,5 hours ago,Full-time · Associate
DATA DEVELOPMENT ANALYST,"Solera, Inc.","Madrid, Community of Madrid, Spain",On-site,5 days ago,Full-time · Mid-Senior level
Data Business Analyst - PageGroup SSC,Page Personnel,"Barcelona, Catalonia, Spain",On-site,3 months ago,Full-time · Mid-Senior level
Market Data Analyst,Yara International,"Madrid, Community of Madrid, Spain",Hybrid,6 days ago,Full-time
Analista de Datos Master Data,Walters People,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Entry level
Digital CRM Data Analyst,Desigual,Greater Barcelona Metropolitan Area,Hybrid,16 hours ago,Full-time · Mid-Senior level
ANALISTA DE MERCADOS Y DATOS (SECTOR DEFENSA),onhunters,"Madrid, Community of Madrid, Spain",Hybrid,4 days ago,Full-time
Part-Time/Freelance - German Speaking Online Data Analyst in Switzerland,TELUS International AI Data Solutions,EMEA,Remote,4 weeks ago,Part-time · Entry level
Data Analyst (CRM/ Loyalty),Addyou,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Entry level
Global Data Operations Analyst,CEVA Logistics,"Madrid, Community of Madrid, Spain",Hybrid,19 hours ago,Full-time · Mid-Senior level
Business Intelligence Developer - PowerCenter - Jornada flexible,Teralco,"Alicante, Valencian Community, Spain",Hybrid,3 days ago,Full-time · Mid-Senior level
Senior Business Analyst - Commercial Data,iTech Media,Spain,Remote,1 week ago,Full-time · Mid-Senior level
"Analyst, HR Reporting & Data Governance",Edwards Lifesciences,"Valencia, Valencian Community, Spain",Hybrid,3 days ago,Full-time · Mid-Senior level
Data Engineer Lead and/or Architect MDM,CAS Training,Spain,Remote,12 hours ago,Full-time · Associate
"Data Engineer // BI developer ** Remoto (Madrid) - Madrid, Madrid, Comunidad de Madrid, España",Grupo Digital,"Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time · Entry level
Data Business Analyst,NEORIS,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Business Controller / Data Analyst,Randstad España,"L'Hospitalet de Llobregat, Catalonia, Spain",Hybrid,4 days ago,Full-time · Associate
Data Analyst BI & Reporting - BI (Openbank),Openbank,"Madrid, Community of Madrid, Spain",On-site,14 hours ago,Full-time · Mid-Senior level
Data Analyst,Amaris Consulting,Spain,Remote,16 hours ago,Full-time · Mid-Senior level
Data Analyst (Software ZEMA),Adecco,"Esplugues de Llobregat, Catalonia, Spain",Hybrid,1 month ago,Full-time · Entry level
Data Analyst,Product Madness 📱🎮,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Entry level
Data Analyst 100% Remoto,Page Personnel,"Málaga, Andalusia, Spain",Remote,1 month ago,Full-time · Entry level
Data Analyst,Alenia Consulting,"Madrid, Community of Madrid, Spain",Hybrid,14 hours ago,Full-time
Data Analyst Sector Energético (Madrid/Barcelona) (8001),Naturgy,Greater Madrid Metropolitan Area,On-site,1 day ago,Full-time · Mid-Senior level
